fane /feɪn/|noun|a temple or shrine
far afield /fɑː(r) əˈfiːld/|adverb|​far away from home; to or in places that are not near
fecund /ˈfiːkənd/|adjective|able to produce a lot of children, crops, useful things, ideas
feeble/ˈfiːbl/|adjective|very weak
fizzy /ˈfɪzi/|adjective|(of a drink) having bubbles of gas in it
folly /ˈfɒli/|noun|a lack of good judgement; the fact of doing something stupid; an activity or idea that shows a lack of judgement
fortnight /ˈfɔːtnaɪt/|noun|two weeks, fourteen nights
fortuitous /fɔːˈtjuːɪtəs/|adjective|happening by chance, especially a lucky chance that brings a good result
foul /faʊl/|adjective|very evil, cruel, unpleasant or bad
fret /fret/|verb|to be worried or unhappy and not able to relax
fret /fret/|noun|mist or fog that comes in from the sea
