sanctify /ˈsæŋktɪfaɪ/|verb|to make something holy; to give official approval to something
shun (somebody/something) /ʃʌn/|verb|to avoid somebody/something
sinister /ˈsɪnɪstə(r)/|adjective|seeming evil or dangerous; making you think something bad will happen
soliloquy /səˈlɪləkwi/|noun|a speech in a play in which a character, who is alone on the stage, speaks his or her thoughts
sovereign /ˈsɒvrɪn/|noun|a king or queen
sow (something) /səʊ/|verb|to introduce or spread feelings or ideas, especially ones that cause trouble
splendid /ˈsplendɪd/|adjective|excellent; very good
slumber /ˈslʌmbə(r)/|noun|sleep; a time when somebody is sleeping
stilly /ˈstɪli/|adverb|quietly and with little movement
succumb /səˈkʌm/|verb|to not be able to fight an attack, a temptation, a disease, etc.
supposition /ˌsʌpəˈzɪʃn/|noun|an idea that you think is true although you may not be able to prove it
surcease /səːˈsiːs/|interjection, verb|stop, cease, terminate
surcease /səːˈsiːs/|noun|ending; cessation
susceptible (to something) /səˈseptəbl/|adjective|very likely to be influenced, harmed or affected by something
suspire /səˈspʌɪə/|verb|to breathe
